OTU	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Kingdom	Phylum	Class	Order	Family	Genus	Species
d43edad3dc397d43cc72f9a8e10f06da1ce8959f	3.8841819684739	1.21728220764593	0.659737228100679	1.8451015886285	0.0650227621717544	0.251551029648365	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Flavonifractor	unidentified
d47beb8cb5d090d3ae5824302bb361b0c25784c6	94.9125789350698	0.315506995910685	0.445367054856064	0.708420150234625	0.478684382774066	0.769747697314834	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Fusicatenibacter	s__Fusicatenibacter saccharivorans
3cad2e9cb2043bd3aa4d49afe723a62b87b763f6	0.809309994128242	0.630786872335771	0.912038530995219	0.691623051986032	0.489174081263815	NA	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Lawsonibacter	unidentified
08d10357a57ed665a2b8c44efbf0f991a4910125	1.10893757391157	0.0498096990706065	0.768684895554214	0.06479859219127	0.948334362365058	NA	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	unidentified
058315feb5f0dbd44ab6a6f983f2e9951c2cf168	1.23377820247318	0.171028423170247	0.826008204656554	0.20705414571682	0.835967572441565	NA	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Acetatifactor	s__Acetatifactor sp900066565
fe5dc91d58556e228070afd6bc1dc93d02b3255a	1.60063408570129	2.11281685832248	0.885395213185814	2.3862980360151	0.0170189524296511	NA	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	unidentified	unidentified
4562989b2be1a47d23a80a7b088dbf033a7c4c11	0.940540411208999	1.09126212787973	1.05220948806122	1.03711489039171	0.299682316403189	NA	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Ruminococcus_E	unidentified
6092a7c9b8837c654a7c6fd21230aac1d96b927d	1.22692885040001	2.41894833832557	0.93040029160816	2.59990066656633	0.00932507488187466	NA	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Acutalibacter	s__Acutalibacter sp003612555
a3bf83a9f89f34d1cbd448a354b2b981a40ba350	1.3185512327569	0.237897818420524	0.952295645634132	0.24981508579944	0.802730352790151	NA	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Roseburia	unidentified
fbb506568c406e9dc91efa9d9ac4cc536b73ca85	1122.65621348287	0.315866095428625	0.22834506660574	1.38328408020305	0.166577777439619	0.473805424324592	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	unidentified
2f331ad51f76d989782a9cb63dbea94e4f8b844c	24.3454149490502	-2.29604830356417	0.821203749530174	-2.79595448130599	0.00517466880175311	0.0368026590697756	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	unidentified	unidentified
d7d1ce91f7a7cf47d8656413bbae37564a6c3de5	38.8835207530654	0.936177630929437	0.844932181300991	1.10799144789106	0.267865509343387	0.62411435117761	d__Bacteria	p__Firmicutes_C	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__Phascolarctobacterium_A	unidentified
5c084ab75457f799a245f66ab04fe00a1a4938c9	3.11102825116822	-0.484947800335973	0.852277398869653	-0.569002300165583	0.569354578971711	0.775406712313854	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	unidentified	unidentified
43f2f063cb2edbd604264e0eabe3a364269c3a9d	1.77285898900565	0.238338556965596	0.872827440680429	0.273064921950431	0.78480331058029	NA	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Angelakisella	s__Angelakisella massiliensis
08f9812c8ddc567bf670ebb651be0e74a55c4603	0.839849920441507	0.181176818572133	0.899112330892658	0.201506321676466	0.84030268683223	NA	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium prausnitzii_G
72a591069a0e4e007ffc35390d443a5878a2bcd3	1.51689781733669	-0.31407659920773	0.913199778622684	-0.343929780273742	0.730899095111076	NA	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Schaedlerella	s__Schaedlerella sp900066545
5b0b727a8cbf23997acbf2f9e32ff29a57f2d3cf	8.8411798062951	0.413142980337535	0.667393047140551	0.619039982672352	0.535890019590682	0.769747697314834	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Parasutterella	unidentified
2e2aa48327491860732b3ac809b0a333f8d4605e	5.01404243720311	0.730355718712517	0.462493763552152	1.57916879376506	0.114297345712764	0.371466373566483	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium prausnitzii_G
b0a7b618138b08258a46347956ebba150b8545fa	10.1443318281317	1.28674777768204	0.55523270296621	2.31749277520554	0.020476903759882	0.100972318540108	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruthenibacterium	s__Ruthenibacterium lactatiformans
801f6db487011a4bbd45082f36ca8e9467a26ec5	1.63176352378203	0.863834619379185	0.757810829963824	1.1399079892015	0.254324636268229	NA	d__Bacteria	p__Firmicutes_C	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__Phascolarctobacterium_A	unidentified
3ab6e6ac4c67f056d186dd6dccda3400273123ea	1.00495147922661	0.656142033206073	0.848512112093991	0.773285406129112	0.439353490742785	NA	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Clostridium_A	s__Clostridium_A leptum
3bc66b0703158a0b96dc880adbfc10c7de57cea4	0.659494007978557	0.516126124207958	0.91148444774236	0.566247866857566	0.571225294589552	NA	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Butyricicoccaceae	g__Agathobaculum	s__Agathobaculum butyriciproducens
2121d02fed97ef400063411122ab85ea5c1ec618	4.57784151661887	-0.365630291482048	0.431379580433054	-0.847583678195892	0.396669867353017	0.710472353524429	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Agathobacter	s__Agathobacter rectalis
17f552bd6c9e75f51ad67a8986900692f382050e	4.80685666388298	0.47289728468435	0.556339174762044	0.850016152262902	0.395316106137104	0.710472353524429	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium prausnitzii_G
79310580abcd5bac8cf38df4bdcb4ccde745f6ee	11.3956919732033	-0.45993236712813	0.438300062280188	-1.04935501203309	0.294014755597798	0.635847120034952	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	unidentified
00b5819148080b717d2e11c8e5cf25ee374ad05c	1.27175033168429	1.14954399177579	0.9818252007598	1.17082347334963	0.241669740488316	NA	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Clostridium_Q	s__Clostridium_Q symbiosum
5d62ca4aa17aaf77474dbecf34d97b7da8bb46ce	2.33018081703553	0.340990132959036	0.545945880341511	0.624585962157518	0.53224283537133	0.769747697314834	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	unidentified
8cb061cbd139dcb5a87e44b016402cf2b03bd407	8.97944739210568	1.51531453990617	0.550293014500988	2.75365032805346	0.0058934697512278	0.0383075533829807	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__CAG-81	unidentified
04ad1bf8ff4e32914011825abfdcb8dc2253c309	2.29822533219924	0.0972991459777743	0.953971891938445	0.101993724133806	0.918761656522239	0.971733049526136	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__Alistipes onderdonkii
02ccc6b4a4e5bc0b23b8af6f0f600f6e036b2836	2.02786473506476	-1.33305846322115	0.769044330661808	-1.73339612564854	0.0830252857509464	NA	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	unidentified
d28565e03340925758c915d26aaa3cb2f8ab09fe	2.64209423801287	-0.811515153047369	0.603548932072477	-1.34457226236947	0.178763405807783	0.482323906236094	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Dorea	s__Dorea sp900066555
